,"xgate u3(pi,0,pi)","rx(pi) u3(pi,-pi/2,pi/2)","rx(pi/2) u2(-pi/2, pi/2)",,
0,8027,7291,,,
1,411,941,4115,7924,
2,8013,7266,347,7926,
3,416,869,4119,7878,
4,7994,7208,7924,7860,
5,442,959,4036,7856,
6,7987,7246,327,7798,
7,434,945,4216,7791,
8,7960,7259,7926,7774,
9,466,972,3972,7749,
10,7960,7233,362,7781,
11,480,915,4255,7665,
12,7943,7162,7878,7625,
13,499,941,4021,7623,
14,7880,7215,361,7564,
15,603,1032,4248,7500,
16,7895,7135,7860,7562,
17,565,1054,3927,7481,
18,7893,7104,397,7463,
19,614,1042,4267,7506,
20,7843,7085,7856,7543,
21,614,1146,3881,7495,
22,7843,7137,386,7404,
23,624,1066,4284,7386,
24,7790,7075,7798,7319,
25,686,1155,3908,7267,
26,7762,7054,438,7345,
27,687,1167,4371,7243,
28,7736,6991,7791,7229,
29,702,1214,3927,7172,
30,7689,7022,468,7227,
31,752,1226,4423,7025,
32,7601,6923,7774,7092,
33,811,1211,3908,7097,
34,7620,6910,505,7011,
35,795,1308,4376,6997,
36,7639,6849,7749,7005,
37,853,1292,3897,6968,
38,7544,6803,489,7018,
39,883,1332,4468,6931,
40,7562,6752,7781,6879,
41,882,1395,3820,6900,
42,7487,6778,574,6895,
43,915,1437,4372,6927,
44,7450,6801,7665,6757,
45,963,1481,3758,6757,
46,7444,6706,586,6766,
47,994,1496,4445,6716,
48,7416,6599,7625,6667,
49,1013,1578,3756,6669,
50,7395,6556,593,6673,
51,1061,1584,4561,6647,
52,7377,6575,7623,6632,
53,1031,1559,3694,6581,
54,7330,6544,653,6464,
55,1106,1644,4570,6539,
56,7320,6448,7564,6434,
57,1082,1719,3717,6272,
58,7295,6471,664,6282,
59,1121,1774,4584,6221,
60,7219,6464,7500,6141,
61,1129,1789,3732,6098,
62,7248,6310,708,6007,
63,1106,1836,4553,6096,
64,7270,6234,7562,6002,
65,1196,1855,3736,6045,
66,7173,6236,716,5986,
67,1198,1986,4561,5886,
68,7231,6261,7481,5862,
69,1180,1938,3664,5797,
70,7174,6155,774,5841,
71,1222,1996,4571,5828,
72,7132,6071,7463,5843,
73,1217,2027,3768,5762,
74,7181,6046,811,5751,
75,1570,2110,4488,5713,
76,6545,5941,7506,,
77,1632,2214,3575,,
78,6599,5860,879,,
79,1612,2267,4672,,
80,6525,5771,7543,,
81,1596,2168,3564,,
82,6492,5801,813,,
83,1629,2290,4820,,
84,6529,5686,7495,,
85,1639,2344,3495,,
86,6513,5621,931,,
87,1740,2382,4938,,
88,6489,5611,7404,,
89,1673,2489,3419,,
90,6456,5547,960,,
91,1686,2476,4915,,
92,6487,5553,7386,,
93,1563,2598,3480,,
94,6435,5425,980,,
95,1718,2615,4898,,
96,6462,5422,7319,,
97,1684,2623,3438,,
98,6438,5286,1008,,
99,1770,2642,4925,,
100,6449,5308,7267,,
101,1772,2792,3409,,
102,6393,5250,1015,,
103,1784,2857,4965,,
104,6409,5159,7345,,
105,1776,2831,3370,,
106,6393,5114,1110,,
107,1865,2910,4920,,
108,6343,5115,7243,,
109,1884,2880,3376,,
110,6283,5000,1081,,
111,1826,2955,4935,,
112,6285,5087,7229,,
113,1854,3041,3339,,
114,6280,4919,1139,,
115,1892,3109,4919,,
116,6250,4953,7172,,
117,1926,3133,3281,,
118,6234,4825,1141,,
119,2002,3158,5004,,
120,6161,4808,7227,,
121,1987,3137,3363,,
122,6177,4787,1210,,
123,2077,3232,5016,,
124,6102,4754,7025,,
125,2041,3318,3249,,
126,6172,4716,1247,,
127,2046,3339,5028,,
128,6134,4544,7092,,
129,2071,3316,3271,,
130,6090,4646,1295,,
131,2108,3414,5090,,
132,6074,4577,7097,,
133,2155,3435,3248,,
134,6014,4550,1207,,
135,2115,3454,5080,,
136,6074,4510,7011,,
137,2161,3520,3196,,
138,5951,4411,1240,,
139,2179,3546,5045,,
140,5959,4374,6997,,
141,2193,3607,3247,,
142,5938,4355,1336,,
143,2246,3658,5122,,
144,5956,4443,7005,,
145,2287,3751,3302,,
146,5939,4274,1313,,
147,2363,3610,5059,,
148,5950,4258,6968,,
149,2342,3713,3243,,
150,,,1416,,
151,,,5013,,
152,,,7018,,
153,,,3313,,
154,,,1421,,
155,,,5076,,
156,,,6931,,
157,,,3355,,
158,,,1361,,
159,,,5033,,
160,,,6879,,
161,,,3181,,
162,,,1402,,
163,,,5060,,
164,,,6900,,
165,,,3280,,
166,,,1407,,
167,,,5092,,
168,,,6895,,
169,,,3230,,
170,,,1533,,
171,,,5087,,
172,,,6927,,
173,,,3223,,
174,,,1500,,
175,,,5228,,
176,,,6757,,
177,,,3156,,
178,,,1584,,
179,,,5152,,
180,,,6757,,
181,,,3117,,
182,,,1495,,
183,,,5127,,
184,,,6766,,
185,,,3181,,
186,,,1584,,
187,,,5175,,
188,,,6716,,
189,,,3133,,
190,,,1627,,
191,,,5214,,
192,,,6667,,
193,,,3035,,
194,,,1648,,
195,,,5254,,
196,,,6669,,
197,,,3137,,
198,,,1625,,
199,,,5219,,
200,,,6673,,
201,,,3029,,
202,,,1691,,
203,,,5226,,
204,,,6647,,
205,,,3037,,
206,,,1718,,
207,,,5310,,
208,,,6632,,
209,,,3089,,
210,,,1707,,
211,,,5234,,
212,,,6581,,
213,,,3031,,
214,,,1744,,
215,,,5240,,
216,,,6464,,
217,,,3080,,
218,,,1810,,
219,,,5180,,
220,,,6539,,
221,,,3145,,
222,,,1804,,
223,,,5248,,
224,,,6434,,
225,,,3042,,
226,,,1927,,
227,,,5319,,
228,,,6272,,
229,,,2928,,
230,,,1968,,
231,,,5303,,
232,,,6282,,
233,,,2861,,
234,,,2009,,
235,,,5318,,
236,,,6221,,
237,,,2908,,
238,,,1986,,
239,,,5292,,
240,,,6141,,
241,,,2882,,
242,,,1977,,
243,,,5337,,
244,,,6098,,
245,,,2941,,
246,,,2167,,
247,,,5316,,
248,,,6007,,
249,,,2883,,
250,,,2203,,
251,,,5374,,
252,,,6096,,
253,,,2874,,
254,,,2115,,
255,,,5335,,
256,,,6002,,
257,,,2919,,
258,,,2196,,
259,,,5376,,
260,,,6045,,
261,,,2935,,
262,,,2180,,
263,,,5273,,
264,,,5986,,
265,,,2942,,
266,,,2233,,
267,,,5354,,
268,,,5886,,
269,,,2926,,
270,,,2286,,
271,,,5337,,
272,,,5862,,
273,,,2885,,
274,,,2333,,
275,,,5317,,
276,,,5797,,
277,,,2865,,
278,,,2325,,
279,,,5321,,
280,,,5841,,
281,,,2855,,
282,,,2371,,
283,,,5303,,
284,,,5828,,
285,,,2932,,
286,,,2446,,
287,,,5282,,
288,,,5843,,
289,,,2870,,
290,,,2431,,
291,,,5185,,
292,,,5762,,
293,,,2884,,
294,,,2419,,
295,,,5218,,
296,,,5751,,
297,,,2898,,
298,,,2485,,
299,,,5281,,
300,,,5713,,
